iter	Passed	Remaining
0	1792	1790911
1	2985	1489995
2	3571	1187079
3	4160	1035959
4	4504	896460
5	6174	1022990
6	7910	1122189
7	8666	1074590
8	9322	1026561
9	10293	1019083
10	10956	985116
11	11271	928029
12	11854	900045
13	12576	885742
14	13333	875571
15	14174	871717
16	15366	888565
17	16256	886876
18	16641	859217
19	17048	835400
20	19086	889806
21	20126	894713
22	20661	877683
23	21409	870658
24	22674	884297
25	23452	878580
26	24078	867719
27	24710	857800
28	25555	855659
29	26554	858611
30	28034	876290
31	28803	871305
32	30003	879187
33	31093	883421
34	31939	880618
35	32854	879780
36	34201	890173
37	35885	908471
38	37787	931134
39	39489	947751
40	40669	951280
41	43514	992539
42	45617	1015255
43	46603	1012565
44	47598	1010135
45	48662	1009215
46	49863	1011066
47	50842	1008384
48	52203	1013169
49	53887	1023860
50	55223	1027597
51	56032	1021513
52	56986	1018235
53	58413	1023311
54	59647	1024851
55	60695	1023153
56	62746	1038076
57	64077	1040705
58	65348	1042259
59	67509	1057653
60	68816	1059318
61	70065	1060028
62	70900	1054497
63	72048	1053705
64	73004	1050142
65	73943	1046409
66	74708	1040338
67	75995	1041583
68	76948	1038251
69	79357	1054321
70	82157	1074991
71	83768	1079687
72	84974	1079061
73	85773	1073322
74	86222	1063412
75	88869	1080460
76	89808	1076530
77	90824	1073592
78	91641	1068372
79	92906	1068421
80	94420	1071269
81	95639	1070699
82	97480	1076980
83	98626	1075498
84	99713	1073390
85	101067	1074135
86	102512	1075796
87	103495	1072594
88	105383	1078703
89	107490	1086848
90	108266	1081470
91	108966	1075455
92	110459	1077275
93	111651	1076126
94	112662	1073261
95	113785	1071479
96	116489	1084429
97	117976	1085867
98	119472	1087324
99	120578	1085203
100	124323	1106603
101	127037	1118424
102	130686	1138110
103	137324	1183102
104	140065	1193891
105	142260	1199823
106	145412	1213581
107	147447	1217803
108	148790	1216262
109	150656	1218944
110	151743	1215318
111	152552	1209525
112	154167	1210149
113	156038	1212723
114	159014	1223718
115	160579	1223730
116	163289	1232349
117	165268	1235311
118	167812	1242375
119	169873	1245740
120	171413	1245229
121	173043	1245348
122	174832	1246569
123	176487	1246798
124	178576	1250036
125	179635	1246043
126	180540	1241037
127	182124	1240720
128	182793	1234211
129	184277	1233242
130	186259	1235570
131	187491	1232897
132	188645	1229743
133	189584	1225225
134	190861	1222927
135	191788	1218420
136	192366	1211767
137	194481	1214807
138	196058	1214432
139	197338	1212222
140	198047	1206543
141	198766	1200995
142	199569	1196020
143	200338	1190901
144	202137	1191912
145	203616	1191017
146	204511	1186723
147	207141	1192461
148	208890	1193056
149	210224	1191270
150	212599	1195341
151	216989	1210575
152	220181	1218915
153	222199	1220653
154	223240	1217022
155	225392	1219430
156	227177	1219812
157	229071	1220749
158	231358	1223723
159	232264	1219389
160	233701	1217861
161	235021	1215727
162	236475	1214295
163	237679	1211586
164	239126	1210126
165	240607	1208834
166	242175	1207978
167	243667	1206735
168	244631	1202894
169	245418	1198219
170	246175	1193447
171	247578	1191833
172	248591	1188354
173	249402	1183943
174	250013	1178636
175	252383	1181611
176	253275	1177660
177	254430	1174952
178	255116	1170116
179	255657	1164664
180	256461	1160450
181	257555	1157585
182	258291	1153137
183	259066	1148904
184	260270	1146596
185	261404	1143996
186	262334	1140523
187	263431	1137800
188	264174	1133575
189	264747	1128660
190	265762	1125666
191	267950	1127624
192	268823	1124044
193	269781	1120845
194	277137	1144078
195	283901	1164576
196	285467	1163606
197	286941	1162257
198	290832	1170635
199	293303	1173212
200	297082	1180940
201	302478	1194939
202	306173	1202068
203	310586	1211896
204	317099	1229727
205	319023	1229633
